Username,Channel Title,Subscribers,Misinformation Focus & Justification
@BigPumpsBinance,Big Pumps Binance™,36K,"Pump group focusing on Binance coins, forwarding affiliate content and hyping rapid coin “blow-ups,” indicative of pump scams."
@CoinCodeCap,CoinCodeCap Classic,26.5K,"A crypto news outlet turned signals provider, linking multiple sub-channels and issuing unsubstantiated “pump-and-dump” style alerts."
@UniversalCryptoSignals,Universal Crypto Signals,24.5K,Gives rapid spot/futures calls; forwards alerts from premium groups and claims “guaranteed profits” without transparent evidence.
@VerifiedCryptoNews,Verified Crypto Traders ® (News),22K,"Public “news” channel for a larger trading group, funneling to paid VIP signals through frequent cross-channel references."
@AltSignals,AltSignals,80K,Paid crypto/forex signals service advertising “accurate & profitable” alerts – essentially a costly tips vendor with marketing‑driven performance claims.
@FatPigSignals,Fat Pig Signals,49K,Short-term altcoin trade channel mentioning/forwarding VIP posts; exaggerates results and reliability to attract subscribers.
@RavenSignalsPro,Raven Signals Pro,88.9K,"Charges a lifetime fee for combined crypto/forex VIP access, presenting unverified profit screenshots."
@BinanceKillers,Binance Killers®,242K,"Large group promoting “90%+” trade accuracy, cross-posting VIP teasers; heavily upsells unverified premium subscriptions."
@AlphaTradeZone,Alpha Trade Zone,60K,A multi-market signals provider forwarding from its premium channel; pitches high-profit testimonials with minimal proof.
@BullDogSignals,BullDog Forex Signals,3.5K,"Forex/crypto signals channel referencing its VIP feed to market “free signals,” claiming unverified high performance."
@ForsageIO_Official,FORSAGE.io official channel,51K,Crypto MLM channel promising passive income via smart contracts – widely accused of being a Ponzi scheme that pays earlier investors with new members’ funds.
@NovaTechFXOfficial,NovaTech FX Official,69K,"Investment platform channel touting consistent Forex & crypto returns – operates like a high‑yield “trading” club, under scrutiny for Ponzi‑style practices."
@Learn2Trade,Learn2Trade (Free Signals),70K,"Uses free signals as bait, pushing users to buy VIP courses that promise effortless income."
@PrimeTradingSignals,Prime Trading Signals,18K,"Signals + academy bundle marketed as a path to financial freedom, relying on exaggerated ROI examples."
@WolfXSignals,Wolfx Signals,166K,Forex/binary provider flaunting 5‑star Trustpilot reviews but no audited performance record.
